name,brand,price,description,image,url,collection_source,korean_beauty_step,categories
"A'PIEU, Hair Mist Raspberry Vinegar, 105 ml","","Prix réduit179.00 Dh

          
            Prix normal200.00 Dh","يحافظ رذاذ الشعر على توازن الزيت والماء في فروة الرأس مع 10000 جزء في المليون من الخل ويغذي الشعر بـ 20000 جزء في المليون من مستخلص التوت. تم تركيبه أيضًا من فيتوكيراتين لإنشاء خصلات لامعة ومستخلص زهرة الكركديه للعناية بالشعر التالف.فوائد:يحافظ على توازن الزيت والماء في فروة الرأس والشعر مع 10000 جزء في المليون من الخل.يغذي فروة الرأس والشعر بـ 20,000 جزء في المليون من مستخلص التوت.يحمي الشعر ويخلق شعر متوهج مع فيتوكيراتين.يوفر العناية بالشعر التالف باستخدام مستخلص زهرة الكركديه.كيف تستعمل:رش على الشعر بالتساوي على مسافة 10-15 سم.","A_PIEU__Hair_Mist_Raspberry_Vinegar__105_0.webp","https://hmizatchezsara.com/products/apieu-hair-mist-raspberry-vinegar-105-ml","korean-japanese-shop-2","",""
"A'PIEU, Mint Scalp Hair Vinegar, 200 ml","","Prix réduit189.00 Dh

          
            Prix normal209.00 Dh","تم تركيبه باستخدام الخل ومركب النعناع 3 والفركتان، يعمل هذا البلسم المرطب المضاد للقشرة على تنظيف فروة الرأس وتهدئتها مع الحفاظ على توازن الزيت والرطوبة. كما يحافظ على شعور الشعر بالانتعاش والحيوية.
الفوائد:بلسم مرطب مضاد للقشرة مصنوع من الخل 20000 جزء في المليون، يساعد في الحفاظ على توازن الزيت والرطوبة في فروة الرأس.مع مركب النعناع 3 10000 جزء في المليون، يخفف من حرارة فروة الرأس ويحافظ على الشعر منتعشًا وحيويًا.استخدام مريح بغطاء مدبب، يحتوي على 87% من المكونات الطبيعية.يتكون من الفركتان وCPE الشرقي الذي ينظف شوائب فروة الرأس ويهدئها.
كيفية الاستخدام:1. بعد وضع الشامبو، ضعي كمية معتدلة على الشعر.2. دلكي الشعر وفروة الرأس بلطف، ثم اشطفيهما جيدًا بالماء الفاتر.","A_PIEU__Mint_Scalp_Hair_Vinegar__200_ml_1.webp","https://hmizatchezsara.com/products/apieu-mint-scalp-hair-vinegar-200-ml","korean-japanese-shop-2","",""
"A'PIEU, Raspberry Hair Vinegar, 200 ml","","Prix réduit189.00 Dh

          
            Prix normal209.00 Dh","معبأ بمستخلصات التوت والكيراتين النباتي ومستخلص الأعشاب والخل، هذا الشامبو المرطب لا يوفر التغذية ويحافظ على توازن درجة الحموضة الصحية فحسب، بل ينقي ويلطف فروة الرأس والشعر.
الفوائد:شامبو مرطب للشعر مركب من الخل يساعد على الحفاظ على توازن الزيت والرطوبة لفروة الرأس، والحفاظ على توازن الرقم الهيدروجيني لفروة الرأس من صبغ الشعر أو تجعيده.يحتوي على مستخلص التوت والكيراتين النباتي الذي يوفر تغذية غنية لفروة الرأس ويحافظ على انتعاش الشعر وحيويته.يتكون من مركب الأعشاب المتخمرة الذي ينظف فروة الرأس من الشوائب ويهدئ فروة الرأس.
كيف تستعمل:1. بعد وضع الشامبو، ضعي كمية معتدلة على الشعر.2. دلكي الشعر وفروة الرأس بلطف، ثم اشطفيه جيدًا بالماء الفاتر.","A_PIEU__Raspberry_Hair_Vinegar__200_ml_2.webp","https://hmizatchezsara.com/products/apieu-raspberry-hair-vinegar-200-ml","korean-japanese-shop-2","",""
"A'PIEU, Shampooing Raspberry Vinegar, 500ml","","Prix réduit259.00 Dh

          
            Prix normal269.00 Dh","امنحي شعرك بعض العناية والاهتمام مع هذا الشامبو المتوازن الحموضة والغني بـ 1000 جزء في المليون من الخل و10000 جزء في المليون من مستخلص التوت للتخلص من الدهون الزائدة في الشعر وفروة الرأس، مع ترك مستويات الترطيب عالية. تساعد المكونات الإضافية من مستخلص الرمان ومستخلصات الأعشاب المختلفة على حبس الرطوبة، مع تهدئة فروة الرأس المتهيجة.
الفوائد:شامبو حمضي خفيف يحتوي على 1000 جزء في المليون من الخل و10000 جزء في المليون من مستخلص التوت ومستخلص الأعشاب المخمرة ومستخلص الرمان.يساعد على إزالة الزيوت الزائدة من الشعر دون تجفيفه.يخفف من تهيج فروة الرأس ويغذي الشعر.يتكون رغوة غنية وناعمة تنظف الشعر وفروة الرأس بشكل فعال.
كيفية الاستخدام:ضعي كمية معتدلة على الشعر وفروة الرأس المبللتين قبل الرغوة. اشطفي بالماء.","A_PIEU__Shampooing_Raspberry_Vinegar__50_3.webp","https://hmizatchezsara.com/products/apieu-shampooing-raspberry-vinegar-500ml","korean-japanese-shop-2","",""
"Abib, Bright Force Serum 13.0 Pump, 30ml","","Prix réduit299.00 Dh

          
            Prix normal320.00 Dh","الفوائد:يساعد هذا السيروم على توحيد لون البشرة، وتفتيح البقع الداكنة، وتقليل إنتاج الميلانين للحصول على بشرة خالية من العيوب.
تركيبته غنية بـ 10% من النياسيناميد للمساعدة في موازنة لون البشرة وتقوية حاجزها الطبيعي، مما يمنحها نقاءً ونعومة.
مُعزز بـ 3% من حمض الترانيكساميك للمساعدة في تقليل ظهور التصبغات العنيدة ودعم توحيد لون البشرة.
يتميز بقوام سيروم كثيف وسريع الامتصاص.
تم اختباره من قبل أطباء الجلدية للبشرة الحساسة.
طريقة الاستخدام:بعد تنظيف البشرة وتطبيق التونر، ضعي كمية مناسبة على البشرة بالتساوي، ثم ربتي عليها برفق لامتصاص أفضل.","Abib__Bright_Force_Serum_13_0_Pump__30ml_4.webp","https://hmizatchezsara.com/products/abib-bright-force-serum-13-0-pump-30ml","korean-japanese-shop-2","",""
"Abib, Creme Yeux Collagen Jericho Rose Tube, 30ml","","Prix réduit249.00 Dh

          
            Prix normal269.00 Dh","وداعًا للهالات السوداء والانتفاخات حول العينين وتجاعيد العين مع كريم العيون القوي هذا الغني بمستخلص وردة أريحا وحمض الهيالورونيك والتريهالوز لترطيب منطقة العين. تحتوي التركيبة المليئة بالمغذيات على 10005 جزء في المليون من الكولاجين المشتق من النباتات لشد وتقوية البشرة. يوفر الباكوتشيول والببتيدات والكافيين المضافة إلى المزيج فوائد مضادة للشيخوخة. لا يترك الملمس المريح أي شعور باللزوجة بعد الاستخدام.
الفوائد:يساعد كريم العيون المضاد للشيخوخة هذا على تقوية المناطق المحيطة بالعينين ويمكن ملاحظة تغييرات كبيرة في غضون أسبوعين فقط.يساعد على تقليل 13% -18% من التجاعيد، حتى الصغيرة منها، حول العينين في غضون أسبوعين.يساعد على تحسين حالة الهالات السوداء، مع تحسن بنسبة 1.05% بعد وضع الكريم لمدة أسبوعين.صُمم بمستخلص وردة أريحا المشتق من الصحاري والتريهالوز وحمض الهيالورونيك اللذين يساعدان على توفير الرطوبة للبشرة.غني بـ 10005 جزء في المليون من الكولاجين المشتق من النباتات والذي يساعد على تقوية مرونة الجلد وترطيبه.يتكون من 5% من النياسيناميد الذي يساعد على تفتيح البشرة حول عينيك.قوام كريمي يلتصق بالجلد بشكل رقيق دون الشعور بالكثافة والالتصاق.تساعد الريتينول والباكوتشيول والببتيد والكافيين المشتقة من النباتات في الكريم على تقوية البشرة وتوفير العناية المثالية لإصلاح وتحسين مرونة الجلد.مع السيراميد والأسياتيكوسايد ومحلول التخمير المشقوق الذي يساعد على تهدئة وتقوية البشرة.
كيفية الاستخدام:ضعي كمية معتدلة من كريم العين على مناطق الجلد حول العينين بلطف وربتي عليها بلطف لامتصاص أفضل.","Abib__Creme_Yeux_Collagen_Jericho_Rose_T_5.webp","https://hmizatchezsara.com/products/abib-creme-yeux-collagen-jericho-rose-tube-30ml","korean-japanese-shop-2","",""
"Abib, Glutathione Kojic Acid Eye Patch Vita Jelly, 60pcs","","Prix réduit249.00 Dh

          
            Prix normal269.00 Dh","الفوائد:تساعد هذه الرقعة العينية على تقليل إنتاج الميلانين، وتفتيح منطقة أسفل العين الباهتة، وتنعيم الخطوط الدقيقة.
تركيبة غنية بالجلوتاثيون الذي يوفر مضادات الأكسدة ويفتح لون البشرة، مدعومة بتقنية الإكسوزومات فائقة الصغر لامتصاص سريع وعناية مركزة بالبقع الداكنة العميقة.
مُعززة بحمض الكوجيك ومستخلص جذور الكركم (Curcuma longa) لتفتيح البشرة، والسيراميد لدعم حاجز البشرة، وفيتامين سي والنياسيناميد لتوحيد لون البشرة.
يمكن استخدامها على خطوط العبوس، والتجاعيد حول العينين، وخطوط الابتسامة، ومنطقة الرقبة لشد البشرة وتغذيتها وتفتيح البقع الداكنة.
سطحها منقوش بدقة لضمان ثباتها في مكانها.
طريقة الاستخدام:تُوضع على منطقة أسفل العين أو المناطق المراد علاجها، نظيفة وجافة. تُزال بعد 20-30 دقيقة، ثم يُربت بلطف على البشرة لامتصاص ما تبقى من السائل.","Abib__Glutathione_Kojic_Acid_Eye_Patch_V_6.webp","https://hmizatchezsara.com/products/abib-glutathione-kojic-acid-eye-patch-vita-jelly-60pcs","korean-japanese-shop-2","",""
"Abib, Glutathiosome Crème Vita Tube, 75ml","","Prix réduit229.00 Dh

          
            Prix normal259.00 Dh","اكشفي عن إشراقة بشرتكِ مع هذا الكريم الغني بمكونات مُفتّحة للبشرة مثل الجلوتاثيون والنياسيناميد وفيتامين سي بلس سوم®. يُقلل هذا الكريم غير الدهني للوجه بفعالية من البقع الداكنة وبهتان البشرة. يُوفر البانثينول وحمض الهيالورونيك فوائد مُهدئة ومرطبة. خالٍ من العطور الاصطناعية، هذا المنتج غير المُهيّج مناسب لجميع أنواع البشرة، حتى الأكثر حساسية.
الفوائد والمزايا:هذا الكريم غني بنسبة 5% من الجلوتاثيون للمساعدة في منع إنتاج الميلانين وتفتيح البشرة.
تركيبة تحتوي على النياسيناميد للمساعدة في منع انتقال الميلانين، وفيتامين سي بلس سوم® لتقليل البقع الداكنة.
غني بالبانثينول لتحسين ملمس البشرة وحمض الهيالورونيك لتعزيز مرونتها.
يتميز بقوام كريمي جل حريري.
مُختَبَر من قِبَل أطباء الجلدية.
طريقة الاستخدام:بعد تنظيف البشرة وتطبيق التونر، ضعي كمية معتدلة من المنتج بالتساوي على الوجه وربتي برفق لامتصاص أفضل.","Abib__Glutathiosome_Cr_me_Vita_Tube__75m_7.webp","https://hmizatchezsara.com/products/abib-glutathiosome-creme-vita-tube-75ml","korean-japanese-shop-2","",""
"Abib, Heartleaf Crème Calming Tube, 75ml","","Prix réduit229.00 Dh

          
            Prix normal259.00 Dh","يحتوي هذا الكريم المُهدئ على خلاصة نبات القلب لتهدئة البشرة الحساسة، والبانثينول لتقوية حاجز البشرة، والألانتوين لحماية البشرة من العوامل الخارجية الضارة. تركيبته الشبيهة بالسوربيه سهلة الامتصاص ولا تُسبب أي تهيج. مُوصى به للبشرة الحساسة.
الفوائد والمزايا:كريم مُهدئ ومرطب يُخفف من تهيج البشرة.
يحتوي على نبات هوتوينيا كورداتا، الذي يُوفر عناية لطيفة ومُهدئة للبشرة الحساسة.
يحتوي على البانثينول والألانتوين لتقوية حاجز البشرة وحمايتها من المهيجات الخارجية.
تركيبته الناعمة الشبيهة بالسوربيه سهلة الامتصاص وتمنح البشرة إحساسًا بالانتعاش.
طريقة الاستخدام:كخطوة أخيرة في روتين العناية بالبشرة، ضعي كمية مناسبة من الكريم بالتساوي على كامل الوجه.","Abib__Heartleaf_Cr_me_Calming_Tube__75ml_8.webp","https://hmizatchezsara.com/products/abib-huile-nettoyante-heartleaf-200ml","korean-japanese-shop-2","",""
"Abib, Jericho Rose Bifida Serum Firming Drop, 50ml","","Prix réduit249.00 Dh

          
            Prix normal269.00 Dh","يحتوي هذا المصل القوي على مستخلص وردة أريحا والتريهالوز وحمض الهيالورونيك لترطيب البشرة، بالإضافة إلى الباكوتشيول والببتيدات والكافيين للحفاظ على البشرة خالية من الترهل. يأتي هذا المصل بقوام يشبه المستحلب، ويتم امتصاص التركيبة الخفيفة الوزن بسرعة لتقديم تحسينات للبشرة في غضون أسبوعين فقط.
الفوائد:يوفر هذا المصل ذو التأثير المضاد للشيخوخة عناية مثالية للمسام الموجودة على البشرة.يحسن حالة المسام العمودية ومرونة الجلد بعد أسبوعين من الاستخدام مع ترطيب البشرة من الداخل.مصنوع من وردة أريحا المشتقة من الصحاري والتريهالوز وحمض الهيالورونيك مما يساعد على توفير الرطوبة للبشرة.تساعد الريتينول المشتقة من النباتات والباكوتشيول والببتيد والكافيين في الكريم على تقوية البشرة وتوفير رعاية مثالية لإصلاح وتحسين مرونة البشرة.بقوام شبه مستحلب يمكن أن يمتصه الجلد بسهولة ويرطبه.يحتوي على سيراميد وآسياتيكوسايد ومحلول تخمير بيفيدا الذي يساعد على تهدئة البشرة وتقويتها.
كيفية الاستخدام:ضعي كمية معتدلة من المصل على البشرة بلطف وربتيها بالتساوي للمساعدة في الامتصاص.","Abib__Jericho_Rose_Bifida_Serum_Firming__9.webp","https://hmizatchezsara.com/products/abib-jericho-rose-bifida-serum-firming-drop-50ml","korean-japanese-shop-2","",""
